company_name,company_url,person_id,name,title,department,linkedin_url,bio,image_url,profile_url
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565081,Phoebe Matthews,Community Engagement Specialist,Marketing,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/00270b6a-c681-4191-bfd5-8b9cd3a0c94d/original.jpeg,https://careers.nudge-global.com/people/3565081-phoebe-matthews
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565084,Reuben Conibear-Griffiths,Senior Marketing Manager,Marketing,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/d969c25a-fb7f-47c0-91ff-e7d7bca91e96/original.jpeg,https://careers.nudge-global.com/people/3565084-reuben-conibear-griffiths
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565083,Rochelle Fernandes,Designer,Marketing,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/70a0e6bd-5324-40fa-ad88-8c7d02e9b75d/original.jpeg,https://careers.nudge-global.com/people/3565083-rochelle-fernandes
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565087,Victoria Brush,Client Marketing Manager,Marketing,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/49b55b14-80a5-4027-b215-e3f22c45a9e6/original.jpeg,https://careers.nudge-global.com/people/3565087-victoria-brush
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3000244,Abdel Azzam,COO,People,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/9323dab2-dfb0-4a51-a512-13c01f8cb11b/original.jpeg,https://careers.nudge-global.com/people/3000244-abdel-azzam
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,2998559,Andy Mulder,People Director,People,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/f36936aa-7c2a-4bd7-811e-db7c16c51321/original.jpeg,https://careers.nudge-global.com/people/2998559-andy-mulder
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,2954829,Corinna Jones,Talent Partner,People,https://www.linkedin.com/in/corinnajones/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/9b6ee04e-41ff-4d9a-97d3-7c384a6fb1c9/original.jpeg,https://careers.nudge-global.com/people/2954829-corinna-jones
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,2998555,Elisa Lo Iacono,Senior People Advisor,People,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/81eb3246-50b1-4e77-ab19-4543615c0da6/original.jpeg,https://careers.nudge-global.com/people/2998555-elisa-lo-iacono
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3000245,Camille Chatakondu,Head of Product Management,Product,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/5d18ac73-3a21-4069-a4ba-ed722f2880f9/original.jpeg,https://careers.nudge-global.com/people/3000245-camille-chatakondu
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3000248,Ellie Thow,Product Manager,Product,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/6b2726df-7a70-48e5-aff4-def269b424d1/original.jpeg,https://careers.nudge-global.com/people/3000248-ellie-thow
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3563302,Kostya Alonov,Senior Product Designer,Product,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/3f73319f-3fba-47a8-8daa-428365310541/original.jpeg,https://careers.nudge-global.com/people/3563302-kostya-alonov
